Section, Description
"Carousel screen", "Increase spacing between 'hit your goals' text and top of carousel by 20%. Recuce spacing between bottom carousel and 'join train to get...' by 20%"
"Sign In button on CArousel screen", "You took far too many liberties here uninstructed. The log in buttons before the change (login with apple, google or email) - styles and colours and spacing were perfect before. Revert those changes. Also sliding card top left requires a circle cross to close. Create account sliding card requires train logo in the same style as login card"
"Welcome aboard interstitial", "User name and emoji should be on next line e.g. 'Welcome Aboard,\nLuke emoji'. The animation is also way too subtle, I wanted something similar to confetti but not confetti like a flash or sparks or something"
"Height and Weight question","I asked you to remove the decimals on the xtick labels in the sliding ruler. if you don't know how to do that you should examine the library's docs"
"Transitions", "Throughout the entire questionnaire, cards such as gym type of training split type, do not respond to the animation, they simply appear and everything else around them that is just text responds to the transition. We need to keep iterating until this is truly fixed. the whole screen should move in together"
"Choose your training split", "Selecting a training split card lacks a white tick in the top right - you were supposed to standardise this across card selections"
"Highlighting consistency","You were supposed to standardise highlighting such that a highlight results in accent colour card fill colour and white tick top right. This was especially so for dumbbells and kettlebell in the equipment selection and child elements. See attached image for the discrepancies showing up."
"interstitial video pages", "Continue button is located higher than the continue button on actual question views. We need consistency on y coordinates here"
"Title sizes", "We need to adjust the .trainTitle (~28pt) font in the them to 24pt. it's too large."
"Spacing below muscle shape files","You still didn't solve this. The spacing betweem 'Tap to remove' and the top of the graphic is spot on. Just replicate that at the bottom of the graphic so the selected muscle tags move up"
"Test seed data", "Despite repeat requests you still have not fixed the recency of this. The two test account we have are supposed to have data from the 1st Feb 2026 to now, March is STILL lacking data for the current month. Fix this and stop ignoring my requests. Also program sizes should reflect how many exercises are in the templates."
"Dashboard view", "You've randomly placed an account icon in the top right which i did not request. Remove it and pull the page content up to the top. The your program section is partially correct but it contains the wrong details. See the attached image with the snippet - split, experience level, dpw and doughnut chart to visualise dpw. Clicking on this section reveals a page that is completely wrong. That page should look like this design https://www.figma.com/design/fh98BTTAgLRmAOHGgkfEfg/Canvas?node-id=494-2495&m=dev - explicitly read in this design from figma AND analyse the attached image. Essentially what you are doing is making a page that looks just like the expanded 'Your Program' seection wwhen the user goes to account settings. You're lifting and shifting that section as it is exactly, then removign that section from account settings. Title at top when opening this new page should say 'Luke's Program' or whatever the user name is. Navigating away from that page via the toolbar should close it. i.e. returning to Program on the toolbar takes user back to dashboard."
"Milestones section","We built a great milestones section but it needs to include all milestones in milestones.md then for each section on the view (recent, upcoming, streak) we only show 3 with a view more... which adds a sliding card with all milestones of that type."
"Milestones section","in the header cards, make the trophy and dumbbell symbols larger than the number, then line break the number. We roughly want the number in the left and right card and the number in the flame streak counter to line up vertically, by having the side of the flame and the trophy/db symbols the correct size to line up the numbers (account for spacing too. See attached image."
"exercise library","Search feature is peach, make it white like the filter text"